"State","NAMELSAD","STATEFP","COUNTYFP","NAME","pop","Region_Transport","Region_EMM","Region_Electricity_EIA","Region_ecoinvent_detail","Region_ecoinvent"
"Indiana","Fountain County","18","045","Fountain",16731,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Illinois","Shelby County","17","173","Shelby",20568,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Illinois","Fayette County","17","051","Fayette",21164,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Ohio","Perry County","39","127","Perry",35551,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Danville city","51","590","Danville",41837,"South Atlantic","PJMD","PJM / Dominion","RFC West","US-RFC"
"Georgia","Banks County","13","011","Banks",19789,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Georgia","Wayne County","13","305","Wayne",31373,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Oklahoma","Oklahoma County","40","109","Oklahoma",808866,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Oklahoma","Johnston County","40","069","Johnston",10216,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"North Carolina","Jackson County","37","099","Jackson",44574,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Utah","Summit County","49","043","Summit",42759,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Missouri","Polk County","29","167","Polk",32780,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Nevada","Lander County","32","015","Lander",5769,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Iowa","Winneshiek County","19","191","Winneshiek",19815,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Kentucky","Bracken County","21","023","Bracken",8426,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Wisconsin","Florence County","55","037","Florence",4682,"East North Central","MISW","Midcontinent / West","RFC West","US-RFC"
"West Virginia","Roane County","54","087","Roane",13743,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Minnesota","Wadena County","27","159","Wadena",14241,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Virginia","Hopewell city","51","670","Hopewell",22752,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Illinois","Winnebago County","17","201","Winnebago",280922,"East North Central","PJMC","PJM / Commonwealth Edison","RFC West","US-RFC"
"Arizona","Gila County","04","007","Gila",54003,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Maryland","Wicomico County","24","045","Wicomico",104800,"South Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Kentucky","Carter County","21","043","Carter",26366,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"North Carolina","Iredell County","37","097","Iredell",199710,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Virginia","Halifax County","51","083","Halifax",33432,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"North Carolina","Hertford County","37","091","Hertford",19453,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"New York","Montgomery County","36","057","Montgomery",49368,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"Minnesota","Pennington County","27","113","Pennington",13714,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Washington","Whatcom County","53","073","Whatcom",231919,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Oregon","Gilliam County","41","021","Gilliam",2026,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"New Jersey","Ocean County","34","029","Ocean",659197,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Arkansas","Boone County","05","009","Boone",38530,"West South Central","MISS","Midcontinent / South","SPP South","US-MRO"
"Oklahoma","Comanche County","40","031","Comanche",121574,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Texas","Jones County","48","253","Jones",20381,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Texas","Grimes County","48","185","Grimes",32384,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Michigan","Genesee County","26","049","Genesee",401522,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Louisiana","Assumption Parish","22","007","Assumption",20160,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Mississippi","Calhoun County","28","013","Calhoun",12685,"East South Central","MISS","Midcontinent / South","SERC Tennessee Valley","US-SERC"
"Mississippi","Greene County","28","041","Greene",13601,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Montana","Custer County","30","017","Custer",11985,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","MRO West","US-MRO"
"South Dakota","Roberts County","46","109","Roberts",10206,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Illinois","Ogle County","17","141","Ogle",51265,"East North Central","PJMC","PJM / Commonwealth Edison","RFC West","US-RFC"
"North Dakota","Richland County","38","077","Richland",16558,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Wisconsin","Barron County","55","005","Barron",46833,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Wisconsin","Iron County","55","051","Iron",6228,"East North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Minnesota","Wabasha County","27","157","Wabasha",21683,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"California","Del Norte County","06","015","Del Norte",26589,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Oklahoma","Pushmataha County","40","127","Pushmataha",10800,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Washington","Chelan County","53","007","Chelan",79997,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Michigan","Presque Isle County","26","141","Presque Isle",13285,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Oklahoma","Cleveland County","40","027","Cleveland",301193,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"New York","Sullivan County","36","105","Sullivan",79920,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
"North Carolina","Polk County","37","149","Polk",20060,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"North Carolina","Scotland County","37","165","Scotland",34376,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"North Carolina","Harnett County","37","085","Harnett",141477,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"North Carolina","Lee County","37","105","Lee",67059,"South Atlantic","SRCA","SERC Reliability Corporation / East","SERC Virginia/Carolina","US-SERC"
"Indiana","Tipton County","18","159","Tipton",15256,"East North Central","PJMW","PJM / West","RFC West","US-RFC"
"Kansas","Clay County","20","027","Clay",8007,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Oklahoma","Wagoner County","40","145","Wagoner",89280,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Montana","Richland County","30","083","Richland",11173,"Mountain","SPPN","Southwest Power Pool / North","WECC Northwest","US-WECC"
"Arkansas","Ashley County","05","003","Ashley",18262,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Arkansas","Desha County","05","041","Desha",10479,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Tennessee","Perry County","47","135","Perry",8891,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Minnesota","Washington County","27","163","Washington",278936,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Virginia","Portsmouth city","51","740","Portsmouth",96793,"South Atlantic","PJMD","PJM / Dominion","SERC Virginia/Carolina","US-SERC"
"Pennsylvania","Fayette County","42","051","Fayette",123915,"Middle Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"West Virginia","Grant County","54","023","Grant",10921,"South Atlantic","PJMW","PJM / West","RFC West","US-RFC"
"Virginia","Shenandoah County","51","171","Shenandoah",45228,"South Atlantic","PJMD","PJM / Dominion","RFC West","US-RFC"
"Texas","Irion County","48","235","Irion",1549,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Missouri","Caldwell County","29","025","Caldwell",8955,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Florida","Putnam County","12","107","Putnam",75955,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Indiana","Crawford County","18","025","Crawford",10438,"East North Central","MISC","Midcontinent / Central","RFC West","US-RFC"
"Missouri","Lewis County","29","111","Lewis",9818,"West North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Nebraska","Grant County","31","075","Grant",565,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Idaho","Oneida County","16","071","Oneida",4953,"Mountain","BASIN","Western Electricity Coordinating Council / Basin","WECC Northwest","US-WECC"
"Illinois","Moultrie County","17","139","Moultrie",14342,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Kentucky","Hopkins County","21","107","Hopkins",44929,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Idaho","Clearwater County","16","035","Clearwater",9214,"Mountain","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Kentucky","Bell County","21","013","Bell",23317,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Minnesota","Crow Wing County","27","035","Crow Wing",68304,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Arizona","Graham County","04","009","Graham",39525,"Mountain","SRSG","Western Electricity Coordinating Council / Southwest","WECC Southwest","US-WECC"
"Arkansas","St. Francis County","05","123","St. Francis",22101,"West South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Georgia","Echols County","13","101","Echols",3709,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Alaska","Dillingham Census Area","02","070","Dillingham",4607,"Pacific",NA,NA,"ASCC Miscellaneous","US-ASCC"
"Kansas","Lincoln County","20","105","Lincoln",2920,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Kansas","Smith County","20","183","Smith",3590,"West North Central","SPPC","Southwest Power Pool / Central","SPP North","US-MRO"
"Florida","Jefferson County","12","065","Jefferson",15450,"South Atlantic","FRCC","Florida Reliability Coordinating Council","FRCC All","US-SERC"
"Mississippi","Amite County","28","005","Amite",12442,"East South Central","MISS","Midcontinent / South","SERC Mississippi Valley","US-SERC"
"Arkansas","Montgomery County","05","097","Montgomery",8620,"West South Central","SPPS","Southwest Power Pool / South","SERC Mississippi Valley","US-SERC"
"Michigan","Calhoun County","26","025","Calhoun",133366,"East North Central","MISE","Midcontinent / East","RFC Michigan","US-RFC"
"Alabama","Cleburne County","01","029","Cleburne",15639,"East South Central","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Colorado","Weld County","08","123","Weld",359442,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Oklahoma","Beckham County","40","009","Beckham",22042,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"California","Modoc County","06","049","Modoc",8500,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Iowa","Polk County","19","153","Polk",505255,"West North Central","MISW","Midcontinent / West","MRO West","US-MRO"
"Georgia","Liberty County","13","179","Liberty",69210,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Texas","Navarro County","48","349","Navarro",55635,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Texas","Brooks County","48","047","Brooks",6848,"West South Central","TRE","Texas Reliability Entity","ERCOT All","US-TRE"
"Tennessee","Williamson County","47","187","Williamson",264460,"East South Central","SRCE","SERC Reliability Corporation / Central","SERC Tennessee Valley","US-SERC"
"Wyoming","Laramie County","56","021","Laramie",100984,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Rockies","US-WECC"
"Washington","Asotin County","53","003","Asotin",22549,"Pacific","NWPP","Western Electricity Coordinating Council / Northwest Power Pool Area","WECC Northwest","US-WECC"
"Minnesota","Traverse County","27","155","Traverse",3136,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"Illinois","Cass County","17","017","Cass",12596,"East North Central","MISC","Midcontinent / Central","SERC Midwest","US-SERC"
"Georgia","Rockdale County","13","247","Rockdale",95987,"South Atlantic","SRSE","SERC Reliability Corporation / Southeastern","SERC South","US-SERC"
"Pennsylvania","Juniata County","42","067","Juniata",23243,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Pennsylvania","McKean County","42","083","McKean",39519,"Middle Atlantic","PJME","PJM / East","RFC East","US-RFC"
"Oklahoma","Garvin County","40","049","Garvin",25865,"West South Central","SPPS","Southwest Power Pool / South","SPP South","US-MRO"
"Nebraska","Burt County","31","021","Burt",6727,"West North Central","SPPN","Southwest Power Pool / North","MRO West","US-MRO"
"New Mexico","San Juan County","35","045","San Juan",120675,"Mountain","RMRG","Western Electricity Coordinating Council / Rockies","WECC Southwest","US-WECC"
"New York","Orleans County","36","073","Orleans",39124,"Middle Atlantic","NYUP","Northeast Power Coordinating Council / Upstate New York","NPCC Upstate NY","US-NPCC"
